related_ticker,ticker
SONO,SONY
XIACF,SONY
005930.KS,SONY
UEIC,SONY
KOSS,SONY
AAPL,SONY
GPRO,SONY
1810.HK,SONY
SMSN.IL,SONY
GM,STLA
HMC,STLA
F,STLA
TM,STLA
RACE,STLA
VWAGY,STLA
LI,STLA
VOW3.DE,STLA
BMW.DE,STLA
MBG.DE,STLA
SAM,TAP
BUD,TAP
FMX,TAP
CCU,TAP
STZ,TAP
ABEV,TAP
TPX-B.TO,TAP
HEINY,TAP
ABI.BR,TAP
HEIA.AS,TAP
BIDU,TCEHY
BILI,TCEHY
TME,TCEHY
WB,TCEHY
9888.HK,TCEHY
BAIDF,TCEHY
SPOT,TCEHY
PINS,TCEHY
NBIS,TCEHY
DASH,TCEHY
CGC,TLRY
ACB,TLRY
WEED.TO,TLRY
PTPI,TLRY
CRON,TLRY
CURLF,TLRY
OGI,TLRY
ACB.TO,TLRY
RGC,TLRY
TCNNF,TLRY
VZ,TMUS
T,TMUS
CHTR,TMUS
CMCSA,TMUS
LUMN,TMUS
VOD,TMUS
GSAT,TMUS
FYBR,TMUS
TU,TMUS
DTE.DE,TMUS
HMC,TM
GM,TM
STLA,TM
F,TM
RACE,TM
BYDDY,TM
NSANY,TM
LI,TM
BYDDF,TM
VWAGY,TM
SNOW,UBER
SHOP,UBER
LYFT,UBER
APP,UBER
MSTR,UBER
CRM,UBER
ADBE,UBER
SOUN,UBER
TTD,UBER
ZM,UBER
CL,UL
KMB,UL
PG,UL
CLX,UL
KVUE,UL
CHD,UL
OR.PA,UL
NWL,UL
COTY,UL
SPB,UL
TOYOF,VLKAF
BMW.VI,VLKAF
BAMXF,VLKAF
VOLCBs.XC,VLKAF
NISA.SG,VLKAF
1MBG.MI,VLKAF
BYMOF,VLKAF
LAAOF,VLKAF
YMA.F,VLKAF
WARDINMOBI.BO,VLKAF
GPI,VRM
KMX,VRM
UXIN,VRM
KFS,VRM
ACVA,VRM
CV0.SG,VRM
CVNA,VRM
AN,VRM
DRVN,VRM
LAD,VRM
AEO,VSCO
ANF,VSCO
URBN,VSCO
GAP,VSCO
GES,VSCO
CRI,VSCO
ROST,VSCO
BURL,VSCO
LULU,VSCO
TJX,VSCO
POAHY,VWAGY
STLA,VWAGY
MBGYY,VWAGY
HMC,VWAGY
NSANY,VWAGY
TM,VWAGY
HYMTF,VWAGY
GM,VWAGY
RACE,VWAGY
BMWKY,VWAGY
T,VZ
TMUS,VZ
CMCSA,VZ
LUMN,VZ
VOD,VZ
CHTR,VZ
TU,VZ
FYBR,VZ
BCE,VZ
BCE.TO,VZ
PARA,WBD
DIS,WBD
SIRI,WBD
ROKU,WBD
LION,WBD
AMC,WBD
NFLX,WBD
IQ,WBD
MANU,WBD
FOX,WBD
OPTX,WBX
OUST,WBX
027040.KQ,WBX
DGNG,WBX
OUSTZ,WBX
OUSTW,WBX
SELX,WBX
CPSH,WBX
DAIO,WBX
ZTE.CN,WBX
INTU,WDAY
ADSK,WDAY
ZM,WDAY
SNOW,WDAY
BULL,WDAY
CRM,WDAY
FICO,WDAY
NOW,WDAY
APP,WDAY
ADBE,WDAY
PZZA,WEN
JACK,WEN
QSR,WEN
YUM,WEN
CBRL,WEN
MCD,WEN
BLMN,WEN
BROS,WEN
SG,WEN
SBUX,WEN
